;uddt;drytoilet;pour.flush;low.flush;tab;drainage;organic.solidwaste;urine.storagetank;dehydration.vault;single.pit;double.pit;composting.chamber;vermi.composter;septic.tank;motorized.transport.urine;humanpowered.transport.urine;motorized.transport;humanpowered.transport;conventional.sewer;solidsfree.sewer;urine.bank;struvite.production;drying.bed;sedimentation.pond;abr;sbr;activated.sludge;cocomposting;biogas.reactor;wsp;constructedwetland;application.urine;application.struvite;application.faeces;application.compost;application.sludge;biogas.combustion;leach.field;soak.pit;irrigation
;c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);;c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.4, specially.manufactured=0.1);c(low.tech=0.5, technical.parts=0.4, specially.manufactured=0.1);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=0.5, technical.parts=0.5 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=0.8, technical.parts=0.2 , specially.manufactured=0);c(low.tech=0.9, technical.parts=0.1 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0);c(low.tech=1, technical.parts=0 , specially.manufactured=0)
attr22;Surface.area;Surface.area;Surface.area;Surface.area;;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;;;;;;;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area;Surface.area
;prange;prange;prange;prange;;prange;prange;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;;;;;ptrapez;ptrapez;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange
;lower=1,upper=10000;lower=1,upper=10000;lower=1,upper=10000;lower=1,upper=10000;;lower=1,upper=10000;lower=0.2,upper=10000;a=1,b=3,c=10000,d=10000;a=1,b=3,c=10000,d=10000;a=1,b=3,c=10000,d=10000;a=1.5,b=3,c=10000,d=10000;a=1.5,b=3,c=10000,d=10000;a=1.5,b=3,c=10000,d=10000;a=1,b=3,c=10000,d=10000;;;;;;;a=0.1778,b=1.717,c=10000,d=10000;a=0.2,b=0.5,c=10000,d=10000;lower=0.4,upper=10000;lower=0.4,upper=10000;lower=0.5,upper=10000;lower=2,upper=10000;lower=2,upper=10000;lower=0.3,upper=10000;lower=0.3,upper=10000;lower=0.4,upper=10000;lower=0.4,upper=10000;lower=0.5,upper=10000;lower=0.5,upper=10000;lower=0.5,upper=10000;lower=0.5,upper=10000;lower=0.5,upper=10000;lower=0.2,upper=10000;lower=0.5,upper=10000;lower=0.5,upper=10000;lower=5,upper=10000
attr23;;;;;;Potential.to.accommodate.for.changing.water.volumes;;;;;;;;;;;;;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;;;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;;;;;;;Potential.to.accommodate.for.changing.water.volumes;Potential.to.accommodate.for.changing.water.volumes;
;;;;;;prange;;;;;;;;;;;;;prange;prange;;;prange;ptrapez;ptrapez;ptrapez;ptrapez;;ptrapez;ptrapez;ptrapez;;;;;;;ptrapez;ptrapez;
;;;;;;lower=-100,upper=200;;;;;;;;;;;;;lower=-100,upper=200;lower=-100,upper=200;;;lower=-100,upper=200;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;;;;;;;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;
attr24;;;;;;;;;;;;;;;;;;;;;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;;Potential.to.accommodate.for.changing.pollution.load;Potential.to.accommodate.for.changing.pollution.load;
;;;;;;;;;;;;;;;;;;;;;prange;prange;prange;prange;ptrapez;ptrapez;ptrapez;prange;prange;prange;ptrapez;prange;prange;prange;prange;prange;;ptrapez;ptrapez;
;;;;;;;;;;;;;;;;;;;;;lower=-100,upper=200;lower=-100,upper=200;lower=-100,upper=200;lower=-100,upper=200;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;lower=-100,upper=200;lower=-100,upper=200;lower=-100,upper=200;a=-100,b=-50,c=50,d=100;lower=-100,upper=200;lower=-100,upper=200;lower=-100,upper=200;lower=-100,upper=200;lower=-100,upper=200;;a=-100,b=-50,c=50,d=100;a=-100,b=-50,c=50,d=100;
attr25;User.awareness.requirements(misuse);User.awareness.requirements(misuse);User.awareness.requirements(misuse);User.awareness.requirements(misuse);User.awareness.requirements(misuse);User.awareness.requirements(misuse);User.awareness.requirements(misuse);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;User.awareness.requirements(misuse);;;
;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ptrapez;;;
;a=1,b=1,c=2,d=5;a=1,b=1,c=4,d=5;a=1,b=1,c=3,d=5;a=1,b=1,c=3,d=5;a=1,b=1,c=5,d=6;a=1,b=1,c=4,d=6;a=1,b=1,c=4,d=6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a=1,b=1,c=2,d=6;;;
attr26;Cleansing.method;Cleansing.method;Cleansing.method;Cleansing.method;;;;;;;;Cleansing.method;Cleansing.method;;;;;;;;;;;;;;;;;;;;;;;;;;;
;pcat;pcat;pcat;pcat;;;;;;;;pcat;pcat;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c(water=1,soft=1);c(water=1,soft=1);c(water=1,soft=1);c(water=1,soft=1);;;;;;;;c(water=0.3,soft=1);c(water=0.3,soft=1);;;;;;;;;;;;;;;;;;;;;;;;;;;
attr27;Odor;Odor;Odor;Odor;;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;;;;;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;Odor;;Odor;Odor;Odor
;dtriangle;dtriangle;dtriangle;dtriangle;;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;;;;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;dtriangle;dtriangle;dtriangle
;a=2,b=5,c=3;a=2,b=5,c=3;a=1,b=5,c=3;a=1,b=5,c=3;;a=1,b=5,c=1;a=1,b=5,c=3;a=0,b=5,c=3;a=1,b=4,c=1;a=3,b=5,c=4;a=3,b=5,c=4;a=2,b=5,c=3;a=2,b=5,c=3;a=1,b=3,c=2;;;;;a=1,b=3,c=1;a=1,b=3,c=1;a=1,b=5,c=1;a=1,b=5,c=1;a=2,b=5,c=2;a=1,b=5,c=2;a=1,b=3,c=1;a=1,b=4,c=1;a=1,b=4,c=1;a=1,b=4,c=2;a=1,b=3,c=1;a=1,b=5,c=2;a=1,b=4,c=2;a=1,b=3,c=1;a=1,b=3,c=1;a=1,b=3,c=1;a=1,b=3,c=1;a=1,b=4,c=1;;a=1,b=3,c=1;a=1,b=3,c=1;a=1,b=3,c=1
attr22;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;Surface.area.onsite;;;;;;;;;;;;;;;Surface.area.onsite;;;;;;;;Surface.area.onsite;;;Surface.area.onsite
;prange;prange;prange;prange;;prange;prange;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;;;;;;;;;;;;;prange;;;;;;;;prange;;;prange
;lower=1,upper=10000;lower=1,upper=10000;lower=1,upper=10000;lower=1,upper=10000;;lower=1,upper=10000;lower=0.2,upper=10000;a=1,b=3,c=10000,d=10000;a=1,b=3,c=10000,d=10000;a=1,b=3,c=10000,d=10000;a=1.5,b=3,c=10000,d=10000;a=1.5,b=3,c=10000,d=10000;a=1.5,b=3,c=10000,d=10000;a=1,b=3,c=10000,d=10000;;;;;;;;;;;;;;;lower=0.3,upper=10000;;;;;;;;lower=0.2,upper=10000;;;lower=5,upper=10000
attr29;;;;;;;;;;;;;;;;;;;;;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;Surface.area.offsite;;Surface.area.offsite;Surface.area.offsite;
;;;;;;;;;;;;;;;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;pcat;pcat;
;;;;;;;;;;;;;;;;;;;;;c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);;c(yes=1,medium=0.7,no=0.2);c(yes=1,medium=0.7,no=0.2);
attr30;;;;;;;;;;;;;;;;;;;;;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;population.change.rate;;population.change.rate
;;;;;;;;;;;;;;;;;;;;;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;;prange
;;;;;;;;;;;;;;;;;;;;;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-10,upper=150;lower=-10,upper=150;lower=-10,upper=150;lower=-100,upper=150;lower=-10,upper=150;lower=-50,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;lower=-100,upper=150;;lower=-100,upper=150
